epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,17349.2,0.0008,1,1,4e-05,0.0002179,0.0002179,0.0002179
81,17562.4,0.00068,1,1,2e-05,0.000208,0.000208,0.000208
82,17775.1,0.00136,1,1,2e-05,0.0001981,0.0001981,0.0001981
83,17988.5,0.0013,1,1,4e-05,0.0001882,0.0001882,0.0001882
84,18202.1,0.00085,1,1,2e-05,0.0001783,0.0001783,0.0001783
85,18416.9,0.00128,1,1,7e-05,0.0001684,0.0001684,0.0001684
86,18629.1,0.0005,1,1,0.00016,0.0001585,0.0001585,0.0001585
87,18842.7,0.00092,1,1,0.00012,0.0001486,0.0001486,0.0001486
88,19055.9,0.00173,1,1,9e-05,0.0001387,0.0001387,0.0001387
89,19270.3,0.00049,1,1,0.00019,0.0001288,0.0001288,0.0001288
90,19484.8,0.00021,1,1,0.00011,0.0001189,0.0001189,0.0001189
91,19697.8,0.00242,1,1,0.00012,0.000109,0.000109,0.000109
92,19911.6,0.00041,1,1,9e-05,9.91e-05,9.91e-05,9.91e-05
93,20125.8,0.00048,1,1,9e-05,8.92e-05,8.92e-05,8.92e-05
94,20340.5,0.00097,1,1,5e-05,7.93e-05,7.93e-05,7.93e-05
95,20555.5,0.00053,1,1,5e-05,6.94e-05,6.94e-05,6.94e-05
96,20771.9,0.003,1,1,3e-05,5.95e-05,5.95e-05,5.95e-05
97,20985.2,0.00108,1,1,4e-05,4.96e-05,4.96e-05,4.96e-05
98,21200,0.00099,1,1,4e-05,3.97e-05,3.97e-05,3.97e-05
99,21414.8,0.00108,1,1,3e-05,2.98e-05,2.98e-05,2.98e-05
100,21628.9,0.00038,1,1,6e-05,1.99e-05,1.99e-05,1.99e-05
